line_item,fy2024,fy2025
Revenue,48000000,57600000
Cost of Goods Sold,28800000,35136000
Operating Expenses,12000000,13824000
Interest Expense,1400000,1600000
Tax Expense,1740000,2112000
Net Income,4060000,4928000
Cash and Equivalents,3500000,4200000
Accounts Receivable,7900000,11050000
Inventory,6200000,8780000
Total Current Assets,17600000,24030000
Total Assets,45000000,54000000
Accounts Payable,4700000,5640000
Total Current Liabilities,8800000,12015000
Total Debt,16000000,18000000
Total Equity,18500000,21400000
