invoice_id,date,amount,approval_status
INV-7000,2026-04-13,54018.48,approved
INV-7001,2026-02-08,37644.88,approved
INV-7002,2026-03-24,98851.56,MISSING APPROVAL
INV-7003,2026-01-20,124872.36,approved
INV-7004,2026-05-19,58089.62,approved
INV-7005,2026-04-28,172180.36,approved
INV-7006,2026-04-22,48855.24,MISSING APPROVAL
INV-7007,2026-03-03,236980.47,MISSING APPROVAL
INV-7008,2026-01-16,82512.79,approved
INV-7009,2026-03-18,6866.85,approved
INV-7010,2026-03-18,24800.03,MISSING APPROVAL
INV-7011,2026-02-20,118361.61,approved
INV-7012,2026-03-05,57876.71,MISSING APPROVAL
INV-7013,2026-02-24,199000.58,MISSING APPROVAL
INV-7014,2026-02-17,166773.41,approved
INV-7015,2026-01-01,46940.87,approved
INV-7016,2026-01-14,159843.6,approved
INV-7017,2026-03-20,6388.65,approved
INV-7018,2026-02-17,104305.92,approved
INV-7019,2026-02-15,68106.26,approved
INV-7020,2026-02-12,235631.35,approved
INV-7021,2026-01-05,185945.75,MISSING APPROVAL
INV-7022,2026-02-20,235599.74,approved
INV-7023,2026-01-04,40197.29,approved
INV-7024,2026-02-14,40650.3,approved
INV-7025,2026-05-11,193788.95,approved
INV-7026,2026-03-04,215177.19,approved
INV-7027,2026-02-22,22735.41,approved
INV-7028,2026-01-19,208975.62,approved
INV-7029,2026-02-13,102779.7,approved
INV-7030,2026-04-14,204353.71,MISSING APPROVAL
INV-7031,2026-01-06,220494.25,approved
INV-7032,2026-04-25,113773.58,approved
INV-7033,2026-02-21,181391.86,approved
INV-7034,2026-03-07,192178.35,approved
INV-7035,2026-04-10,112340.72,approved
INV-7036,2026-04-14,241132.63,approved
INV-7037,2026-01-17,76792.3,approved
INV-7038,2026-04-18,36183.7,approved
INV-7039,2026-04-10,105286.45,MISSING APPROVAL
INV-7040,2026-02-10,97844.88,MISSING APPROVAL
INV-7041,2026-05-22,180132.3,approved
INV-7042,2026-04-11,222432.81,approved
INV-7043,2026-01-22,92045.85,approved
INV-7044,2026-02-22,168615.12,approved
INV-7045,2026-04-24,189399.45,approved
INV-7046,2026-04-28,216129.34,approved
INV-7047,2026-01-04,127905.78,MISSING APPROVAL
INV-7048,2026-02-01,132914.53,approved
INV-7049,2026-05-26,202419.04,approved
INV-7050,2026-03-24,213605.79,approved
INV-7051,2026-04-18,135102.61,MISSING APPROVAL
INV-7052,2026-05-25,75438.4,approved
INV-7053,2026-01-26,80337.76,MISSING APPROVAL
INV-7054,2026-01-02,107109.37,approved
INV-7055,2026-05-21,237336.64,MISSING APPROVAL
INV-7056,2026-05-10,52530.95,approved
INV-7057,2026-04-13,198365.85,approved
INV-7058,2026-04-11,36474.82,approved
INV-7059,2026-04-28,213304.49,approved
INV-7060,2026-04-18,238811.22,approved
INV-7061,2026-03-09,55864.82,approved
INV-7062,2026-05-28,222992.11,approved
INV-7063,2026-02-27,228605.8,approved
INV-7064,2026-05-21,222870.2,approved
INV-7065,2026-02-03,135257.57,approved
INV-7066,2026-05-01,33142.5,approved
INV-7067,2026-01-11,165519.68,approved
INV-7068,2026-05-22,135587.95,approved
INV-7069,2026-05-11,106415.02,approved
INV-7070,2026-02-19,230398.59,approved
INV-7071,2026-01-02,88885.49,approved
INV-7072,2026-05-25,76578.12,approved
INV-7073,2026-01-23,194882.57,approved
INV-7074,2026-02-04,123742.08,approved
INV-7075,2026-03-22,94466.34,MISSING APPROVAL
INV-7076,2026-02-25,141955.1,approved
INV-7077,2026-05-03,187138.88,approved
INV-7078,2026-02-27,38553.55,MISSING APPROVAL
INV-7079,2026-01-02,190999.99,approved
INV-7080,2026-02-12,218363.68,approved
INV-7081,2026-05-20,191335.72,MISSING APPROVAL
INV-7082,2026-02-11,194427.82,approved
INV-7083,2026-04-07,80329.01,approved
INV-7084,2026-02-16,162510.7,MISSING APPROVAL
INV-7085,2026-01-08,97325.04,approved
INV-7086,2026-02-19,113743.0,MISSING APPROVAL
INV-7087,2026-01-27,44551.13,approved
INV-7088,2026-04-12,66985.54,MISSING APPROVAL
INV-7089,2026-01-19,102149.0,approved
INV-7090,2026-02-05,236192.66,approved
INV-7091,2026-05-10,76075.07,approved
INV-7092,2026-04-26,22713.68,approved
INV-7093,2026-02-20,172470.69,approved
INV-7094,2026-03-26,208116.37,approved
INV-7095,2026-04-27,71315.19,approved
INV-7096,2026-05-05,174939.69,approved
INV-7097,2026-03-24,102888.27,MISSING APPROVAL
INV-7098,2026-02-06,133409.27,approved
INV-7099,2026-02-08,163712.47,approved
INV-7100,2026-05-04,111504.29,MISSING APPROVAL
INV-7101,2026-01-27,54498.85,approved
INV-7102,2026-03-02,247354.45,approved
INV-7103,2026-02-19,192228.92,approved
INV-7104,2026-01-21,13722.1,approved
INV-7105,2026-04-03,45580.87,approved
INV-7106,2026-03-14,37361.62,MISSING APPROVAL
INV-7107,2026-01-12,127980.77,approved
INV-7108,2026-05-16,56057.65,approved
INV-7109,2026-04-20,54410.64,approved
INV-7110,2026-02-16,185847.27,approved
INV-7111,2026-02-27,173192.76,approved
INV-7112,2026-05-22,201181.25,MISSING APPROVAL
INV-7113,2026-01-08,63923.7,approved
INV-7114,2026-04-13,133471.37,approved
INV-7115,2026-02-09,84388.77,MISSING APPROVAL
INV-7116,2026-03-16,51326.74,approved
INV-7117,2026-01-14,20227.59,approved
INV-7118,2026-01-22,76749.08,approved
INV-7119,2026-03-01,146427.27,approved
